Zeppelin Mountain,78.906688,11.889342,Norway,ZEP
Pallas,67.9736099243,24.1158332825,Finland,PAL
Kotelnyj Island,76,137.8699951172,Russian Federation,KOT
Teriberka,69.1999969482,35.0999984741,Russian Federation,TER
Tiksi,71.5861663818,128.9188232422,Russian Federation,TIK
Barrow,71.3230133057,-156.6114654541,USA,BRW
Alert,82.4991455078,-62.3415260315,Canada,ALT
Mould Bay,76.25,-119.3499984741,Canada,MBC
Summit,72.5800018311,-38.4799995422,Greenland,SUM
